Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,25,50,5,5.1,5.2,5.3,5.4,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,Domain,Main Skill set,Soft skill,Min Years of Experience,Role,Qualification,Target Company,,"General Remark
1. Target company is not applicable when field is blank, so I have given 100.
2. What should we do if all match but candidate doesn't know english?  We need to think about it. Something should be main filter like language, country of applicant.",,,,,
Sr. No.,JD title ( Folder Name),Domain,IT Skill set,Soft skill,Min Years of Experience,Role,Qualification,Target Company,Candidate Name,Resume Files,Domain Matching Score,Main Skill set Matching Score,Soft skill Matching Score,Min Years of Experience Matching Score,Role Matching Score,Qualification Matching Score,Target Company Matching Score,Matching Score,Remark,Language,Location_City,Location_Country,Average tenure per company,Contributor
1,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate1_SAP_TA_ABAP_1,Candidate1_SAP_TA_ABAP_1,50,100,100,70,100,100,100,86,"1. Main skill based on integration and interface experience is not coming out and mainly.
2. Soft skill is based on ""Stake holders' management, client escalation & engagement. Team management & handling ""
3. Role is 100 as he has done lead role as it covers indiviaul contributor and pass experience details.
4. Qualification is not given but it is assumed looking at present company and given 100",English,Pune,India,,Ashish Desai
2,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate2_SAP_TA_ABAP_1,Candidate2_SAP_TA_ABAP_1,0,100,0,100,100,100,100,70,1. Main skill SAP CS is missing.,English,Pune,India,,Ashish Desai
3,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate3_SAP_TA_ABAP_1,Candidate3_SAP_TA_ABAP_1,0,50,100,80,100,100,100,47,"1. SAP experience is less than 5 ( 3 years only).
2. Missing SAP CS and lnterface experience. Very limited experience in developmenent.",English,Pune,India,,Ashish Desai
4,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate4_SAP_TA_ABAP_1,Candidate4_SAP_TA_ABAP_1,50,75,100,100,100,100,100,74,1. This is not SAP functional consultant profie. He was worked on specific SAP integration technology that is not required for this project.,English,Pune,India,,Ashish Desai
5,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate5_SAP_TA_ABAP_1,Candidate5_SAP_TA_ABAP_1,50,100,100,100,100,100,100,88,1. SAP CS and interface work is missing.,English,Pune,India,,
6,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate6_SAP_TA_ABAP_1,Candidate6_SAP_TA_ABAP_1,0,100,100,100,100,100,100,75,1. SAP CS and interface work is missing.,English,Pune,India,,
7,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate7_SAP_TA_ABAP_1,Candidate7_SAP_TA_ABAP_1,,,,,,100,100,,1. SAP CS and interface work is missing. Also Development work.,English,Pune,India,,
8,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate8_SAP_TA_ABAP_1,Candidate8_SAP_TA_ABAP_1,100,100,100,100,100,100,100,100,"1. SAP CS and interface work is missing. Also Development work.
2. Not sure on development guess based on worked on Johnson and Johnson. No mention of soft skill and qualification",English,Pune,India,,
9,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate9_SAP_TA_ABAP_1,Candidate9_SAP_TA_ABAP_1,50,100,100,100,100,100,100,88,1. SAP CS and interface work is missing. Also Development work.,English,Pune,India,,
10,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate10_SAP_TA_ABAP_1,Candidate10_SAP_TA_ABAP_1,100,100,100,100,100,100,100,100,"1. SAP CS and interface work is missing. Also Development work.
2. Can't make out domain.
3. Not much mention of softskill",English,Pune,India,,
11,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate11_SAP_TA_ABAP_1,Candidate11_SAP_TA_ABAP_1,50,100,100,80,100,100,100,87,"1. SAP CS and interface work is missing. 
2. Work on manufacturing project but not industrial.
3. No mention of sofksill",English,Pune,India,,
12,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate12_SAP_TA_ABAP_1,Candidate12_SAP_TA_ABAP_1,80,100,100,100,100,100,100,95,"1. Not relevant SAP functional skill set and not looked at domain.
2. No mention of softskill",English,Pune,India,,
13,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate13_SAP_TA_ABAP_1,Candidate13_SAP_TA_ABAP_1,0,100,100,100,80,100,100,73,"1. Not matching SAP skill set.
2. Worked on Manufacturing company project.
3.  Considered work only relevant for SAP development.",English,Pune,India,,
14,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate14_SAP_TA_ABAP_1,Candidate14_SAP_TA_ABAP_1,0,100,100,100,100,100,100,75,1. SAP CS and interface work is missing. ,English,Pune,India,,
15,SAP_TA_ABAP_1,"Manufacturing, Industrial Machine","SAP ABAP, IDOC, RFC, BAPI, SAP interface","Team Player, Proactive, Good communication, Hardworking",5,"Technical Analyst, Developer",Bachelor of Engineering,,Candidate15_SAP_TA_ABAP_1,Candidate15_SAP_TA_ABAP_1,100,100,100,75,100,100,100,99,"1. SAP CS and interface work is missing. Also Development work.
2. Worked in Manufacturing and Maintenance engineer experience for domain 100
3. No mention of softskill.",English,Pune,India,,
