,,,,,,,,,,,25%,50%,5%,5%,5%,5%,5%,,,,,,,
,,,,,,,,,,,Domain,Main Skill set,Soft skill,Min Years of Experience,Role,Qualification,Target Company,,"General Remark
1. Target company is not applicable when field is blank, so I have given 100%.
2. What should we do if all match but candidate doesn't know english?  We need to think about it. Something should be main filter like language, country of applicant.",,,,,
Sr. No.,JD title ( Folder Name),Domain,IT Skill set,Soft skill,Min Years of Experience,Role,Qualification,Target Company,Candidate Name,Resume Files,Domain Matching Score,Main Skill set Matching Score,Soft skill Matching Score,Min Years of Experience Matching Score,Role Matching Score,Qualification Matching Score,Target Company Matching Score,Matching Score,Remark,Language,Location_City,Location_Country,Average tenure per company,Contributor
1,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_1,-,75%,75%,75%,100%,100%,100%,100%,80%,"1. Main skill based on integration and interface experience is not coming out and mainly.
2. Soft skill is based on ""Stake holders' management, client escalation & engagement. Team management & handling ""
3. Role is 100% as he has done lead role as it covers indiviaul contributor and pass experience details.
4. Qualification is not given but it is assumed looking at present company and given 100%",English,Pune,India,,Ashish Desai
2,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_2,,0%,25%,25%,100%,100%,100%,100%,34%,1. Main skill SAP CS is missing.,English,Pune,India,,Ashish Desai
3,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_3,,100%,25%,100%,50%,0%,100%,100%,55%,"1. SAP experience is less than 5 ( 3 years only).
2. Missing SAP CS and lnterface experience. Very limited experience in developmenent.",English,Pune,India,,Ashish Desai
4,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_4,,0%,0%,0%,50%,0%,100%,100%,13%,1. This is not SAP functional consultant profie. He was worked on specific SAP integration technology that is not required for this project.,English,Pune,India,,Ashish Desai
5,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_5,,100%,25%,100%,100%,100%,100%,100%,63%,1. SAP CS and interface work is missing.,English,Pune,India,,
6,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_6,,100%,25%,100%,100%,100%,100%,100%,63%,1. SAP CS and interface work is missing.,English,Pune,India,,
7,SAP_Functional_Analyst CS_Integration1,"Manufacturing, Industrial Machine","SAP CS, SAP Inegration, SAP Interface, Enhacement, Custom Development","Team Player, Proactive, Good communication, Hardworking",5,"Functional Consultant, Functional Analyst",Bachelor of Engineering,,Candidate_7,,100%,15%,100%,100%,100%,100%,100%,58%,1. SAP CS and interface work is missing. Also Development work.,English,Pune,India,,
